timestamp,gapBuy,gapSell,bidA,askA,bidB,askB,errorA,errorB
2026-04-26T21:39:18.5802611-07:00,3000,53000,4727.8599999999997,4728.1800000000003,4728.21,4728.3900000000003,,
2026-04-26T21:39:18.6283636-07:00,3000,53000,4727.8599999999997,4728.1800000000003,4728.21,4728.3900000000003,,
2026-04-26T21:39:18.6739811-07:00,-26000,23000,4728.1599999999999,4728.4700000000003,4728.21,4728.3900000000003,,
2026-04-26T21:39:18.7216397-07:00,-26000,23000,4728.1599999999999,4728.4700000000003,4728.21,4728.3900000000003,,
2026-04-26T21:39:18.7835777-07:00,-61000,-12000,4728.1599999999999,4728.4700000000003,4727.8599999999997,4728.04,,
2026-04-26T21:39:18.8301691-07:00,-61000,-12000,4728.1599999999999,4728.4700000000003,4727.8599999999997,4728.04,,
2026-04-26T21:39:18.8796888-07:00,-42999,7000,4727.9200000000001,4728.2399999999998,4727.8100000000004,4727.9899999999998,,
2026-04-26T21:39:18.9240265-07:00,-42999,7000,4727.9200000000001,4728.2399999999998,4727.8100000000004,4727.9899999999998,,
2026-04-26T21:39:18.9725118-07:00,-23000,26000,4727.75,4728.0699999999997,4727.8400000000001,4728.0100000000002,,
2026-04-26T21:39:19.0333075-07:00,-23000,26000,4727.75,4728.0699999999997,4727.8400000000001,4728.0100000000002,,
2026-04-26T21:39:19.0801799-07:00,-24000,25000,4727.7600000000002,4728.0799999999999,4727.8400000000001,4728.0100000000002,,
2026-04-26T21:39:19.1269591-07:00,-24000,25000,4727.7600000000002,4728.0799999999999,4727.8400000000001,4728.0100000000002,,
2026-04-26T21:39:19.1743086-07:00,-24000,25000,4727.7600000000002,4728.0799999999999,4727.8400000000001,4728.0100000000002,,
2026-04-26T21:39:19.2240315-07:00,-24000,25000,4727.7600000000002,4728.0799999999999,4727.8400000000001,4728.0100000000002,,
2026-04-26T21:39:19.2846995-07:00,-26000,23999,4727.7700000000004,4728.1000000000004,4727.8400000000001,4728.0100000000002,,
2026-04-26T21:39:19.3302377-07:00,-26000,23999,4727.7700000000004,4728.1000000000004,4727.8400000000001,4728.0100000000002,,
2026-04-26T21:39:19.3775401-07:00,-26000,23999,4727.7700000000004,4728.1000000000004,4727.8400000000001,4728.0100000000002,,
2026-04-26T21:39:19.4240298-07:00,-26000,23999,4727.7700000000004,4728.1000000000004,4727.8400000000001,4728.0100000000002,,
2026-04-26T21:39:19.4708368-07:00,-26000,23999,4727.7700000000004,4728.1000000000004,4727.8400000000001,4728.0100000000002,,
2026-04-26T21:39:19.5333199-07:00,-26000,23999,4727.7700000000004,4728.1000000000004,4727.8400000000001,4728.0100000000002,,
2026-04-26T21:39:19.5806320-07:00,-26000,23999,4727.7700000000004,4728.1000000000004,4727.8400000000001,4728.0100000000002,,
2026-04-26T21:39:19.6379430-07:00,-26000,23999,4727.7700000000004,4728.1000000000004,4727.8400000000001,4728.0100000000002,,
2026-04-26T21:39:19.6739506-07:00,-26000,23999,4727.7700000000004,4728.1000000000004,4727.8400000000001,4728.0100000000002,,
